Cuts	trigger 	1 tight lep 	losse lep veto	second lep veto 	jet reco	b tag jet 	MET Filters
Tchannel	310847.81	211617.18	210365.25	208802.72	78305.4	45626.38	45626.38
Tbarchannel	194565.24	135156.68	134343.41	133347.39	48513.13	27884.68	27884.68
TWChannel	287468.99	205795.89	195117.1	172449.63	61334.51	43707.37	43707.37
TbarWChannel	452857.74	324231.55	307402.62	271727.09	96611.44	44903.9	44903.9
SChannel	15628.61	10195.23	10130	10036.08	3688.36	1871.96	1871.96
TTbar Semi	3329581.22	2362571.41	2341421.37	2320997.44	579986.13	278083.48	278083.48
TTbar Fully	1500474.68	1015182.34	850497.03	507924.17	179258.55	94683.21	94683.21
Wp0Jets	210147425	111779447.7	111763726.4	111596096.8	135868.84	2359.37	2359.37
Wp1Jets	55145437.87	35379274.92	35323009.95	35258938.44	378548.64	5420.34	5420.34
Wp2Jets	22234102.47	14531163.02	14488899.37	14459457.37	5981213.66	114553.6	114553.6
DYJets	57701102.81	27966763.18	11176254.99	11095032.41	973210.44	34740.5	34740.5
WWTo2L2NU	149854.16	93584.42	79614.03	50106.75	5473.59	78.65	78.65
WZTo2L2Q	52306.76	29967.06	14095.06	13927.9	4337.47	56.68	56.68
ZZTo2L2Q	33175.93	19025.51	8704.59	8591.84	2792.38	309.47	309.47
QCD	141964231.4	22391657.62	22350191.15	22342427.43	2406233.48	70859.32	70859.32
Total 	493519060.69	216455633.71	199253772.32	198449863.46	10935376.02	765138.91	765138.91
data	493519060.69	216455633.71	199253772.32	198449863.46	10935376.02	805066	805066
